2026-07-18 19:14:09,967 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/customers -> 200 (2040.9ms)
2026-07-18 19:14:22,375 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/customers -> 200 (2029.7ms)
2026-07-18 19:14:24,455 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2038.9ms)
2026-07-18 19:14:26,492 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2034.6ms)
2026-07-18 19:14:28,567 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2071.0ms)
2026-07-18 19:14:30,609 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2038.3ms)
2026-07-18 19:14:32,640 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2027.2ms)
2026-07-18 19:14:47,158 | INFO     | ui.api_client | UI -> API POST http://localhost:8000/tickets -> 201 (2020.2ms)
2026-07-18 19:14:50,969 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-18 19:14:50,973 | INFO     | customer_support_agent.graph.nodes | classify_ticket: raw_response='{"category": "claim_status"}' -> category=claim_status
2026-07-18 19:14:52,296 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-18 19:14:53,619 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-18 19:14:53,657 | INFO     | pinecone.index | Index client created for host https://policies-r1zzu8l.svc.aped-4627-b74a.pinecone.io
2026-07-18 19:14:56,534 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/embeddings "HTTP/1.1 200 OK"
2026-07-18 19:14:56,586 | INFO     | pinecone.index | Querying index with top_k=5
2026-07-18 19:15:00,451 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-18 19:15:03,244 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-18 19:15:03,261 | INFO     | ui.api_client | UI -> API POST http://localhost:8000/tickets/18/process -> 200 (16102.4ms)
2026-07-18 19:15:05,326 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2062.8ms)
2026-07-18 19:15:07,375 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2047.5ms)
2026-07-18 19:15:09,423 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2043.7ms)
2026-07-18 19:15:11,473 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2046.5ms)
2026-07-18 19:15:13,524 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2047.5ms)
2026-07-18 19:15:15,632 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2104.4ms)
2026-07-18 19:15:21,165 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2053.4ms)
2026-07-18 19:15:25,595 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2101.5ms)
2026-07-18 19:15:27,764 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2128.0ms)
2026-07-18 19:15:29,852 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2069.8ms)
2026-07-18 19:15:31,923 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2061.8ms)
2026-07-18 19:15:33,978 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2053.3ms)
2026-07-18 19:15:36,026 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2044.1ms)
2026-07-18 19:15:38,050 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2021.0ms)
2026-07-18 19:15:40,105 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2051.8ms)
2026-07-19 10:47:15,163 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/customers -> 200 (2115.1ms)
2026-07-19 10:47:23,945 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/customers -> 200 (2043.4ms)
2026-07-19 10:47:26,036 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2035.1ms)
2026-07-19 10:47:28,116 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2076.1ms)
2026-07-19 10:47:30,188 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2068.4ms)
2026-07-19 10:47:32,261 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2068.8ms)
2026-07-19 10:47:34,321 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2056.6ms)
2026-07-19 10:47:36,393 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2068.2ms)
2026-07-19 10:48:01,479 | INFO     | ui.api_client | UI -> API POST http://localhost:8000/tickets -> 201 (2045.5ms)
2026-07-19 10:48:03,535 | INFO     | customer_support_agent.core.tracing | LangSmith tracing enabled (project=motor-insurance-support-agent)
2026-07-19 10:48:06,410 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 10:48:06,423 | INFO     | customer_support_agent.graph.nodes | classify_ticket: raw_response='{"category": "other"}' -> category=other
2026-07-19 10:48:07,844 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 10:48:09,643 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 10:48:09,663 | INFO     | ui.api_client | UI -> API POST http://localhost:8000/tickets/19/process -> 200 (8183.2ms)
2026-07-19 10:48:11,730 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2064.6ms)
2026-07-19 10:48:13,774 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/19 -> 200 (2041.4ms)
2026-07-19 10:48:15,826 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2049.0ms)
2026-07-19 10:48:17,887 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2057.3ms)
2026-07-19 10:48:19,937 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2044.6ms)
2026-07-19 10:48:21,977 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2035.7ms)
2026-07-19 10:48:22,052 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/customers -> 200 (2026.0ms)
2026-07-19 10:48:24,043 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2062.3ms)
2026-07-19 10:48:30,622 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2065.9ms)
2026-07-19 10:48:48,524 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2094.6ms)
2026-07-19 10:49:09,194 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/customers -> 200 (3162.5ms)
2026-07-19 10:49:16,873 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2065.2ms)
2026-07-19 10:49:25,471 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2055.6ms)
2026-07-19 10:49:27,610 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2093.1ms)
2026-07-19 10:49:29,670 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/12 -> 200 (2051.6ms)
2026-07-19 10:49:31,722 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2043.6ms)
2026-07-19 10:49:46,038 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/customers -> 200 (2028.5ms)
2026-07-19 10:49:59,664 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2076.2ms)
2026-07-19 10:50:04,008 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2063.8ms)
2026-07-19 10:50:06,141 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2094.7ms)
2026-07-19 10:50:08,224 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/19 -> 200 (2061.0ms)
2026-07-19 10:50:10,292 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2060.7ms)
2026-07-19 10:50:12,343 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2048.9ms)
2026-07-19 10:50:14,370 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2024.8ms)
2026-07-19 10:50:16,427 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2052.8ms)
2026-07-19 10:50:18,473 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2040.9ms)
2026-07-19 10:50:20,522 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2045.5ms)
2026-07-19 11:13:21,082 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/customers -> 200 (2181.2ms)
2026-07-19 11:13:33,171 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/customers -> 200 (2074.7ms)
2026-07-19 11:13:35,298 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2075.1ms)
2026-07-19 11:13:37,351 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/19 -> 200 (2050.0ms)
2026-07-19 11:13:39,388 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2031.3ms)
2026-07-19 11:13:41,448 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2056.2ms)
2026-07-19 11:13:43,496 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2043.1ms)
2026-07-19 11:13:45,554 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2053.1ms)
2026-07-19 11:13:47,610 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2051.2ms)
2026-07-19 11:14:27,314 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2136.3ms)
2026-07-19 11:14:29,375 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/19 -> 200 (2058.0ms)
2026-07-19 11:14:31,458 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2078.4ms)
2026-07-19 11:14:33,506 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2043.2ms)
2026-07-19 11:14:35,564 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2052.7ms)
2026-07-19 11:14:37,621 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2053.4ms)
2026-07-19 11:14:39,675 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2048.8ms)
2026-07-19 11:14:44,491 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:14:45,801 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:14:45,805 | INFO     | ui.api_client | UI -> API POST http://localhost:8000/chat -> 200 (6125.1ms)
2026-07-19 11:16:36,614 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2127.0ms)
2026-07-19 11:16:38,685 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/19 -> 200 (2069.1ms)
2026-07-19 11:16:40,762 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2069.4ms)
2026-07-19 11:16:42,819 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2053.8ms)
2026-07-19 11:16:44,907 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2080.7ms)
2026-07-19 11:16:46,979 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2066.7ms)
2026-07-19 11:16:49,043 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2057.4ms)
2026-07-19 11:16:53,664 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:16:53,677 | INFO     | ui.api_client | UI -> API POST http://localhost:8000/chat -> 200 (4626.2ms)
2026-07-19 11:17:38,886 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2071.0ms)
2026-07-19 11:17:40,941 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/19 -> 200 (2053.2ms)
2026-07-19 11:17:43,016 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2067.4ms)
2026-07-19 11:17:45,077 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2057.1ms)
2026-07-19 11:17:47,131 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2049.1ms)
2026-07-19 11:17:49,215 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2081.0ms)
2026-07-19 11:17:51,312 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2091.0ms)
2026-07-19 11:17:55,200 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:17:55,204 | INFO     | ui.api_client | UI -> API POST http://localhost:8000/chat -> 200 (3883.7ms)
2026-07-19 11:18:08,087 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets -> 200 (2050.0ms)
2026-07-19 11:18:10,158 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/19 -> 200 (2069.4ms)
2026-07-19 11:18:12,212 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/18 -> 200 (2049.0ms)
2026-07-19 11:18:14,275 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/4 -> 200 (2059.7ms)
2026-07-19 11:18:16,337 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/3 -> 200 (2057.7ms)
2026-07-19 11:18:18,415 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/2 -> 200 (2075.0ms)
2026-07-19 11:18:20,462 | INFO     | ui.api_client | UI -> API GET http://localhost:8000/tickets/1 -> 200 (2042.3ms)
2026-07-19 11:18:24,387 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-19 11:18:24,410 | INFO     | customer_support_agent.core.tracing | LangSmith tracing enabled (project=motor-insurance-support-agent)
2026-07-19 11:18:25,618 | INFO     | httpx | HTTP Request: POST https://openai.vocareum.com/v1/chat/completions "HTTP/1.1 200 OK"
